month,mother_age,child_gender,mother_race,birth_count
2020-04,35  -  39,M,CHINESE,230
2020-04,35  -  39,F,INDIANS,32
2020-04,35  -  39,M,INDIANS,31
2020-04,35  -  39,F,MALAYS,56
2020-04,35  -  39,M,MALAYS,70
2020-04,35  -  39,F,OTHERS,63
2020-04,35  -  39,M,OTHERS,56
2020-04,40  -  44,F,CHINESE,34
2020-04,40  -  44,M,CHINESE,43
2020-04,40  -  44,F,INDIANS,5
2020-04,40  -  44,M,INDIANS,7
2020-04,40  -  44,F,MALAYS,7
2020-04,40  -  44,M,MALAYS,9
2020-04,40  -  44,F,OTHERS,15
2020-04,40  -  44,M,OTHERS,8
2020-04,45  -  49,F,CHINESE,3
2020-04,45  -  49,M,CHINESE,6
2020-04,45  -  49,F,INDIANS,1
2020-04,45  -  49,F,MALAYS,1
2020-04,45  -  49,M,OTHERS,1
2020-04,50  -  54,M,MALAYS,1
2020-04,Under 15,M,MALAYS,1
2020-05,15  -  19,F,CHINESE,4
2020-05,15  -  19,M,CHINESE,6
2020-05,15  -  19,M,INDIANS,3
2020-05,15  -  19,F,MALAYS,11
2020-05,15  -  19,M,MALAYS,9
2020-05,15  -  19,M,OTHERS,1
2020-05,20  -  24,F,CHINESE,18
2020-05,20  -  24,M,CHINESE,22
2020-05,20  -  24,F,INDIANS,8
2020-05,20  -  24,M,INDIANS,12
2020-05,20  -  24,F,MALAYS,32
2020-05,20  -  24,M,MALAYS,31
2020-05,20  -  24,F,OTHERS,8
2020-05,20  -  24,M,OTHERS,7
2020-05,25  -  29,F,CHINESE,161
2020-05,25  -  29,M,CHINESE,168
2020-05,25  -  29,F,INDIANS,37
2020-05,25  -  29,M,INDIANS,39
2020-05,25  -  29,F,MALAYS,123
2020-05,25  -  29,M,MALAYS,123
2020-05,25  -  29,F,OTHERS,33
2020-05,25  -  29,M,OTHERS,39
2020-05,30  -  34,F,CHINESE,408
2020-05,30  -  34,M,CHINESE,438
2020-05,30  -  34,F,INDIANS,48
2020-05,30  -  34,M,INDIANS,83
2020-05,30  -  34,F,MALAYS,113
2020-05,30  -  34,M,MALAYS,142
2020-05,30  -  34,F,OTHERS,66
2020-05,30  -  34,M,OTHERS,91
2020-05,35  -  39,F,CHINESE,248
2020-05,35  -  39,M,CHINESE,268
2020-05,35  -  39,F,INDIANS,37
2020-05,35  -  39,M,INDIANS,27
2020-05,35  -  39,F,MALAYS,46
2020-05,35  -  39,M,MALAYS,68
2020-05,35  -  39,F,OTHERS,47
2020-05,35  -  39,M,OTHERS,72
2020-05,40  -  44,F,CHINESE,39
2020-05,40  -  44,M,CHINESE,50
2020-05,40  -  44,F,INDIANS,5
2020-05,40  -  44,M,INDIANS,7
2020-05,40  -  44,F,MALAYS,15
2020-05,40  -  44,M,MALAYS,9
2020-05,40  -  44,F,OTHERS,10
2020-05,40  -  44,M,OTHERS,12
2020-05,45  -  49,F,CHINESE,3
2020-05,45  -  49,M,CHINESE,1
2020-05,45  -  49,M,INDIANS,1
2020-05,45  -  49,F,MALAYS,2
2020-05,45  -  49,M,OTHERS,1
2020-06,15  -  19,F,CHINESE,2
2020-06,15  -  19,M,CHINESE,4
2020-06,15  -  19,M,INDIANS,1
2020-06,15  -  19,F,MALAYS,2
2020-06,15  -  19,M,MALAYS,5
2020-06,15  -  19,M,OTHERS,1
2020-06,20  -  24,F,CHINESE,18
2020-06,20  -  24,M,CHINESE,28
2020-06,20  -  24,F,INDIANS,5
2020-06,20  -  24,M,INDIANS,10
2020-06,20  -  24,F,MALAYS,26
2020-06,20  -  24,M,MALAYS,41
2020-06,20  -  24,F,OTHERS,12
2020-06,20  -  24,M,OTHERS,10
2020-06,25  -  29,F,CHINESE,153
2020-06,25  -  29,M,CHINESE,180
2020-06,25  -  29,F,INDIANS,36
2020-06,25  -  29,M,INDIANS,45
2020-06,25  -  29,F,MALAYS,113
2020-06,25  -  29,M,MALAYS,113
2020-06,25  -  29,F,OTHERS,35
2020-06,25  -  29,M,OTHERS,31
2020-06,30  -  34,F,CHINESE,412
2020-06,30  -  34,M,CHINESE,429
2020-06,30  -  34,F,INDIANS,76
2020-06,30  -  34,M,INDIANS,80
2020-06,30  -  34,F,MALAYS,106
2020-06,30  -  34,M,MALAYS,118
2020-06,30  -  34,F,OTHERS,82
2020-06,30  -  34,M,OTHERS,81
2020-06,35  -  39,F,CHINESE,220
2020-06,35  -  39,M,CHINESE,222
2020-06,35  -  39,F,INDIANS,35
2020-06,35  -  39,M,INDIANS,48
2020-06,35  -  39,F,MALAYS,56
2020-06,35  -  39,M,MALAYS,55
2020-06,35  -  39,F,OTHERS,63
2020-06,35  -  39,M,OTHERS,58
2020-06,40  -  44,F,CHINESE,45
2020-06,40  -  44,M,CHINESE,49
2020-06,40  -  44,F,INDIANS,4
2020-06,40  -  44,M,INDIANS,7
2020-06,40  -  44,F,MALAYS,5
2020-06,40  -  44,M,MALAYS,12
2020-06,40  -  44,F,OTHERS,13
2020-06,40  -  44,M,OTHERS,9
2020-06,45  -  49,F,CHINESE,1
2020-06,45  -  49,M,CHINESE,4
2020-06,45  -  49,M,OTHERS,1
2020-06,50  -  54,M,CHINESE,1
2020-07,15  -  19,F,CHINESE,3
2020-07,15  -  19,M,CHINESE,4
2020-07,15  -  19,M,INDIANS,1
2020-07,15  -  19,F,MALAYS,9
2020-07,15  -  19,M,MALAYS,6
2020-07,20  -  24,F,CHINESE,16
2020-07,20  -  24,M,CHINESE,16
2020-07,20  -  24,F,INDIANS,6
2020-07,20  -  24,M,INDIANS,2
2020-07,20  -  24,F,MALAYS,26
2020-07,20  -  24,M,MALAYS,35
2020-07,20  -  24,F,OTHERS,8
2020-07,20  -  24,M,OTHERS,5
2020-07,25  -  29,F,CHINESE,161
2020-07,25  -  29,M,CHINESE,179
2020-07,25  -  29,F,INDIANS,42
2020-07,25  -  29,M,INDIANS,39
2020-07,25  -  29,F,MALAYS,131
2020-07,25  -  29,M,MALAYS,128
2020-07,25  -  29,F,OTHERS,32
2020-07,25  -  29,M,OTHERS,26
2020-07,30  -  34,F,CHINESE,417
2020-07,30  -  34,M,CHINESE,420
2020-07,30  -  34,F,INDIANS,68
2020-07,30  -  34,M,INDIANS,70
2020-07,30  -  34,F,MALAYS,120
2020-07,30  -  34,M,MALAYS,119
2020-07,30  -  34,F,OTHERS,70
2020-07,30  -  34,M,OTHERS,72
2020-07,35  -  39,F,CHINESE,255
2020-07,35  -  39,M,CHINESE,264
2020-07,35  -  39,F,INDIANS,30
